arquivo,split_origem,motivos
CAM3_RGB_2024-08-16_18-52-00_jpg.rf.75108058fa5ee778fcf534ef51a9e44d.jpg,train,duplicata
CAM3_RGB_2024-08-22_22-42-00_jpg.rf.575b675b23f533b4b7faef3e8972b1a8.jpg,train,duplicata
CAM3_RGB_2024-08-22_22-44-00_jpg.rf.0c570ed341f4d305b30b241cf55b3b26.jpg,train,duplicata
CAM3_RGB_2024-08-22_22-45-00_jpg.rf.1c732ea38e6aa1fd7768d4edde3402d5.jpg,train,duplicata
CAM3_RGB_2024-08-22_22-46-00_jpg.rf.5db6bec43b9d1ff1552a26deb73276f8.jpg,train,duplicata
CAM3_RGB_2024-08-23_08-11-00_jpg.rf.ad48eecf92f443c184634d0ac3a4e791.jpg,train,duplicata
CAM3_RGB_2024-08-23_08-12-00_jpg.rf.7f1f008b02c6aa8e4b4430c579beea43.jpg,train,duplicata
CAM3_RGB_2024-08-23_08-13-00_jpg.rf.27b0017e06e6ec313484fb03905c6e20.jpg,train,duplicata
CAM3_RGB_2024-08-23_18-21-00_jpg.rf.c4f324841a014e8593d98ab777f7cf86.jpg,train,duplicata
CAM3_RGB_2024-08-23_18-23-00_jpg.rf.37e6dfbe999dff75acd12051ecd3041e.jpg,train,duplicata
CAM3_RGB_2024-08-24_08-10-00_jpg.rf.201ebef5572673ecad44ad693d0dd126.jpg,train,duplicata
CAM3_RGB_2024-08-24_08-12-00_jpg.rf.767d2759a3ca0ac89c40b67a5b93007e.jpg,train,duplicata
CAM3_RGB_2024-08-24_17-08-00_jpg.rf.cc91135a4f23017ee30f4c4113ece2d3.jpg,train,duplicata
CAM3_RGB_2024-08-24_17-12-00_jpg.rf.ca64e44b9c39563e4302b88164eddda8.jpg,train,duplicata
CAM3_RGB_2024-08-30_06-04-00_jpg.rf.dc9ae827299dd41689f1d0c31282da76.jpg,train,borrada
CAM3_RGB_2024-08-30_06-35-00_jpg.rf.a0f7d742d006edb1f5ea6c8b26027e51.jpg,train,duplicata
CAM3_RGB_2024-08-30_15-59-00_jpg.rf.377e86b70e07ce6afbdca8153d95a1b0.jpg,train,duplicata
CAM1_RGB_2024-08-18_11-07-00_jpg.rf.4a6b4b954740c691c2afab382e50fa04.jpg,valid,duplicata
CAM1_RGB_2024-08-24_02-55-58_jpg.rf.e6862f17de0119cd0b389745e738c7c4.jpg,valid,borrada
CAM2_RGB_2024-08-20_18-26-00_jpg.rf.ca104fa2e180074191e0ce45a7a5208e.jpg,valid,duplicata
CAM2_RGB_2024-08-24_03-39-00_jpg.rf.d07e54224449891036691fafa42a7667.jpg,valid,borrada;subexposta
CAM2_RGB_2024-08-24_05-08-57_jpg.rf.f697e62604bd4ce5371e25caa237dc50.jpg,valid,borrada;subexposta
CAM3_RGB_2024-08-16_18-49-00_jpg.rf.58fa2c50ecd66c30214370ff75cfa049.jpg,valid,duplicata
CAM3_RGB_2024-08-23_04-39-00_jpg.rf.cd58d47deb90a21bbbf32848419d5fcf.jpg,valid,duplicata
CAM3_RGB_2024-08-23_04-40-00_jpg.rf.7b1f0e899469967eaf86e3c2ef4add5f.jpg,valid,duplicata
CAM3_RGB_2024-08-29_12-12-00_jpg.rf.3cd9dcb7a6eb49c06e0161bfa58c300d.jpg,valid,duplicata
CAM3_RGB_2024-08-30_06-05-00_jpg.rf.0b995cade9ca300a97f6903110bb09d5.jpg,valid,borrada
CAM3_RGB_2024-08-31_23-02-00_jpg.rf.948e4239997060afe5b23995a26b41e6.jpg,valid,borrada
